DepID,InstID,CH1_SN,CH1_Sens_dB,CH1_Dist_m,CH2_SN,CH2_Sens_dB,CH2_Dist_m,ST_Sens_dB,FullSystem_CH1_dB
PASCAL_009,ST300,201883689,-154.5,,,,,-4,-172.3
PASCAL_010,SM3M,856046,-165.2,,,,,,-165.2
PASCAL_011,SM2Bat,856019,-181.4,,,,,,-181.4
PASCAL_012,ST4300,856049,-154.5,,,,,-4,-158.5
PASCAL_013,SM3M,856044,-164.7,,,,,,-164.7
PASCAL_014,SM2Bat,856027,-181,,,,,,-181
PASCAL_015,ST4300,856055,-155.1,,,,,-4,-159.1
PASCAL_016,ST4300,856054,-154.6,,,,,-4,-158.6
PASCAL_017,SM3M,856041,-164.5,,,,,,-164.5
PASCAL_018,SM2Bat,856026,-181.1,,,,,,-181.1
PASCAL_019,ST4300,856047,-154.6,,,,,-4,-158.6
PASCAL_020,ST4300,856061,-165.4,,,,,-4,-169.4
PASCAL_021,ST4300,856060,-165,,,,,-4,-169
PASCAL_022,ST4300,856048,-155.6,,,,,-4,-159.6
PASCAL_023,ST4300,856054,-154.6,,,,,-4,-158.6
PASCAL_024,ST4300,856052,,,,,,,-158.7
PASCAL_024,ST300,1678299174,-154.7,,,,,-4,-172.4
PASCAL_025,ST4300,856053,-154.7,,,,,-4,-158.7
PASCAL_026,ST4300,856050,,,,,,,-158.5
PASCAL_026,ST300,201883689,-154.5,,,,,-4,-172.3
PASCAL_027,ST4300,856049,-154.5,,,,,-4,-158.5
PASCAL_028,ST4300,856055,-155.1,,,,,-4,-159.1
PASCAL_029,ST4300,856050,,,,,,,-158.5
PASCAL_029,ST300,201883689,-154.5,,,,,-4,-172.3
PASCAL_030,ST4300,856049,-154.5,,,,,-4,-158.5
